Transcript_Id	Length	Source	evalue	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_17671_0_1	949	PLDB	7.00E-23	RAD51B R51H2 RAD51L1 REC2	RAD51 paralog B	Homo sapiens
dd_Smed_v6_176_0_1	451	PLDB	6.00E-80	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_176_0_2	341	PLDB	5.00E-47	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_17704_0_1	2953	PLDB	1.00E-179	CHD1L ALC1 CHDL	chromodomain helicase DNA binding protein 1-like	Homo sapiens
dd_Smed_v6_1771_0_1	1005	PLDB	1.00E-74	PSMB1 HC5 PMSB1 PSC5	proteasome subunit beta 1	Homo sapiens
dd_Smed_v6_17726_0_1	2088	PLDB	1.00E-77	PAX6 AN AN2 D11S812E MGDA WAGR	paired box 6	Homo sapiens
dd_Smed_v6_1801_0_1	678	PLDB	1.00E-41	PSME3 HEL-S-283 Ki PA28-gamma PA28G PA28gamma REG-GAMMA	proteasome activator subunit 3	Homo sapiens
dd_Smed_v6_18101_0_1	1895	PLDB	1.00E-151	MCM9 C6orf61 MCMDC1 dJ329L24.1 dJ329L24.3	minichromosome maintenance complex component 9	Homo sapiens
dd_Smed_v6_18303_0_1	1634	PLDB	6.00E-59	MASTL GREATWALL GW GWL MAST-L THC2 hGWL	microtubule associated serine/threonine kinase-like	Homo sapiens
dd_Smed_v6_18390_0_1	823	PLDB	4.00E-12	BOK BCL2L9 BOKL	BCL2-related ovarian killer	Homo sapiens
dd_Smed_v6_18465_0_1	1183	PLDB	1.00E-31	CTGF CCN2 HCS24 IGFBP8 NOV2	connective tissue growth factor	Homo sapiens
dd_Smed_v6_1847_0_1	4477	PLDB	0	USP7 HAUSP TEF1	ubiquitin specific peptidase 7 (herpes virus-associated)	Homo sapiens
dd_Smed_v6_1847_0_2	4112	PLDB	0	USP7 HAUSP TEF1	ubiquitin specific peptidase 7 (herpes virus-associated)	Homo sapiens
dd_Smed_v6_18488_0_1	983	PLDB	3.00E-14	RRM2B MTDPS8A MTDPS8B P53R2	ribonucleotide reductase M2 B (TP53 inducible)	Homo sapiens
dd_Smed_v6_18505_0_1	727	PLDB	1.00E-37	MSX1 ECTD3 HOX7 HYD1 STHAG1	msh homeobox 1	Homo sapiens
dd_Smed_v6_1855_0_1	1364	PLDB	0	PSMC3 TBP1	"proteasome 26S subunit, ATPase 3"	Homo sapiens
dd_Smed_v6_18582_0_1	663	PLDB	2.00E-121	PSMC6 CADP44 HEL-S-73 P44 SUG2 p42	"proteasome 26S subunit, ATPase 6"	Homo sapiens
dd_Smed_v6_18657_0_1	1803	PLDB	3.00E-25	XRCC1 RCC	X-ray repair complementing defective repair in Chinese hamster cells 1	Homo sapiens
dd_Smed_v6_18961_0_1	1169	PLDB	3.00E-104	RECQL RECQL1 RecQ1	RecQ like helicase	Homo sapiens
dd_Smed_v6_18961_0_2	861	PLDB	6.00E-86	RECQL RECQL1 RecQ1	RecQ like helicase	Homo sapiens
dd_Smed_v6_18963_0_1	1019	PLDB	4.00E-46	YY1 DELTA INO80S NF-E1 UCRBP YIN-YANG-1	YY1 transcription factor	Homo sapiens
dd_Smed_v6_1913_0_1	1249	PLDB	1.00E-78	PSMD13 HSPC027 Rpn9 S11 p40.5	"proteasome 26S subunit, non-ATPase 13"	Homo sapiens
dd_Smed_v6_19166_0_1	1044	PLDB	5.00E-94	TOP2A TOP2 TP2A	topoisomerase (DNA) II alpha	Homo sapiens
dd_Smed_v6_1920_0_1	975	PLDB	2.00E-112	PCNA	proliferating cell nuclear antigen	Homo sapiens
dd_Smed_v6_19257_0_1	2421	PLDB	7.00E-50	TIMELESS TIM TIM1 hTIM	timeless circadian clock	Homo sapiens
dd_Smed_v6_1950_0_1	877	PLDB	8.00E-45	XPA XP1 XPAC	"xeroderma pigmentosum, complementation group A"	Homo sapiens
dd_Smed_v6_1965_0_1	6315	PLDB	0	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_1972_0_1	2506	PLDB	2.00E-48	IKBKE IKK-E IKK-i IKKE IKKI	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"	Homo sapiens
dd_Smed_v6_2001_0_1	708	PLDB	3.00E-18	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_2007_0_1	939	PLDB	7.00E-95	PSMB5 LMPX MB1 X	proteasome subunit beta 5	Homo sapiens
dd_Smed_v6_20208_0_1	620	PLDB	6.00E-65	PSMC6 CADP44 HEL-S-73 P44 SUG2 p42	"proteasome 26S subunit, ATPase 6"	Homo sapiens
dd_Smed_v6_20243_0_1	252	PLDB	1.00E-28	RPS27A CEP80 HEL112 S27A UBA80 UBC UBCEP1 UBCEP80	ribosomal protein S27a	Homo sapiens
dd_Smed_v6_20320_0_1	2047	PLDB	2.00E-61	POLQ POLH PRO0327	"polymerase (DNA directed), theta"	Homo sapiens
dd_Smed_v6_20423_0_1	1669	PLDB	4.00E-49	RAD17 CCYC HRAD17 R24L RAD17SP RAD24	RAD17 checkpoint clamp loader component	Homo sapiens
dd_Smed_v6_20426_0_1	545	PLDB	4.00E-07	AEN ISG20L1 pp12744	apoptosis enhancing nuclease	Homo sapiens
dd_Smed_v6_20433_0_1	1094	PLDB	5.00E-127	CAT	catalase	Homo sapiens
dd_Smed_v6_20968_0_1	1849	PLDB	0	POLE CRCS12 FILS POLE1	"polymerase (DNA) epsilon, catalytic subunit"	Homo sapiens
dd_Smed_v6_2106_0_1	1567	PLDB	4.00E-84	MAP2K6 MAPKK6 MEK6 MKK6 PRKMK6 SAPKK-3 SAPKK3	mitogen-activated protein kinase kinase 6	Homo sapiens
dd_Smed_v6_2117_0_1	915	PLDB	7.00E-113	PSMA2 HC3 MU PMSA2 PSC2	proteasome subunit alpha 2	Homo sapiens
dd_Smed_v6_21196_0_1	1495	PLDB	7.00E-50	DRD5 DBDR DRD1B DRD1L2	dopamine receptor D5	Homo sapiens
dd_Smed_v6_2121_0_1	1061	PLDB	3.00E-78	STUB1 CHIP HSPABP2 NY-CO-7 SCAR16 SDCCAG7 UBOX1	STIP1 homology and U-box containing protein 1	Homo sapiens
dd_Smed_v6_2122_0_1	1942	PLDB	3.00E-10	MALT1 IMD12 MLT MLT1	mucosa associated lymphoid tissue lymphoma translocation gene 1	Homo sapiens
dd_Smed_v6_2126_0_1	1045	PLDB	7.00E-163	PSMD14 PAD1 POH1 RPN11	"proteasome 26S subunit, non-ATPase 14"	Homo sapiens
dd_Smed_v6_21319_0_1	1144	PLDB	9.00E-28	PGAP2 CWH43-N FRAG1 HPMRS3 MRT17 MRT21	post-GPI attachment to proteins 2	Homo sapiens
dd_Smed_v6_2133_0_1	1319	PLDB	0	PSMC6 CADP44 HEL-S-73 P44 SUG2 p42	"proteasome 26S subunit, ATPase 6"	Homo sapiens
dd_Smed_v6_21347_0_1	1467	PLDB	3.00E-60	NR2E1 TLL TLX XTLL	nuclear receptor subfamily 2 group E member 1	Homo sapiens
dd_Smed_v6_2135_0_1	1329	PLDB	6.00E-146	PSMD11 Rpn6 S9 p44.5	"proteasome 26S subunit, non-ATPase 11"	Homo sapiens
dd_Smed_v6_2182_0_1	3684	PLDB	0	POLR2B POL2RB RPB2 hRPB140 hsRPB2	"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa"	Homo sapiens
dd_Smed_v6_21882_0_1	920	PLDB	3.00E-68	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_22244_0_1	2543	PLDB	0	MCM8 C20orf154 dJ967N21.5	minichromosome maintenance complex component 8	Homo sapiens
dd_Smed_v6_2238_1_1	1197	PLDB	3.00E-12	USP2 UBP41 USP9	ubiquitin specific peptidase 2	Homo sapiens
dd_Smed_v6_2238_1_2	859	PLDB	3.00E-06	USP2 UBP41 USP9	ubiquitin specific peptidase 2	Homo sapiens
dd_Smed_v6_2244_0_1	819	PLDB	1.00E-23	MIF GIF GLIF MMIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	Homo sapiens
dd_Smed_v6_23287_0_1	1629	PLDB	2.00E-59	MTMR2 CMT4B CMT4B1	myotubularin related protein 2	Homo sapiens
dd_Smed_v6_2348_0_1	1322	PLDB	2.00E-65	MRPS9 MRP-S9 RPMS9 S9mt	mitochondrial ribosomal protein S9	Homo sapiens
dd_Smed_v6_23571_0_1	799	PLDB	1.00E-104	ALB PRO0883 PRO0903 PRO1341	albumin	Homo sapiens
dd_Smed_v6_23908_0_1	760	PLDB	9.00E-113	PSMC6 CADP44 HEL-S-73 P44 SUG2 p42	"proteasome 26S subunit, ATPase 6"	Homo sapiens
dd_Smed_v6_23954_0_1	1815	PLDB	7.00E-118	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_2402_0_1	2328	PLDB	0	NDUFS1 CI-75Kd CI-75k PRO1304	NADH:ubiquinone oxidoreductase core subunit S1	Homo sapiens
dd_Smed_v6_2477_0_1	746	PLDB	8.00E-66	PSMB2 HC7-I	proteasome subunit beta 2	Homo sapiens
dd_Smed_v6_2481_0_1	2820	PLDB	0	PSMD2 P97 RPN1 S2 TRAP2	"proteasome 26S subunit, non-ATPase 2"	Homo sapiens
dd_Smed_v6_24862_0_1	1460	PLDB	6.00E-77	TLK2 HsHPK PKU-ALPHA	tousled-like kinase 2	Homo sapiens
dd_Smed_v6_2490_0_1	725	PLDB	6.00E-09	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_2505_0_1	1711	PLDB	3.00E-154	USP14 TGT	ubiquitin specific peptidase 14	Homo sapiens
dd_Smed_v6_2525_0_1	7037	PLDB	3.00E-105	TRIP12 TRIP-12 ULF	thyroid hormone receptor interactor 12	Homo sapiens
dd_Smed_v6_25321_0_1	836	PLDB	9.00E-28	SOX2 ANOP3 MCOPS3	SRY-box 2	Homo sapiens
dd_Smed_v6_25420_0_1	1736	PLDB	2.00E-33	NR2E1 TLL TLX XTLL	nuclear receptor subfamily 2 group E member 1	Homo sapiens
dd_Smed_v6_2546_0_1	1496	PLDB	4.00E-143	PSMD12 Rpn5 p55	"proteasome 26S subunit, non-ATPase 12"	Homo sapiens
dd_Smed_v6_2547_0_1	1546	PLDB	0	RUVBL2 ECP51 INO80J REPTIN RVB2 TIH2 TIP48 TIP49B	RuvB-like AAA ATPase 2	Homo sapiens
dd_Smed_v6_25683_0_1	443	PLDB	3.00E-10	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_25803_0_1	1411	PLDB	5.00E-72	SPRTN C1orf124 DDDL1880 DVC1 PRO4323 Spartan dJ876B10.3	SprT-like N-terminal domain	Homo sapiens
dd_Smed_v6_2589_0_1	1808	PLDB	2.00E-44	MAP3K7 MEKK7 TAK1 TGF1a	mitogen-activated protein kinase kinase kinase 7	Homo sapiens
dd_Smed_v6_2595_0_1	3660	PLDB	0	SUPT16H CDC68 FACTP140 SPT16/CDC68	suppressor of Ty 16 homolog (S. cerevisiae)	Homo sapiens
dd_Smed_v6_2611_0_1	1926	PLDB	2.00E-104	PARP3 ADPRT3 ADPRTL2 ADPRTL3 ARTD3 IRT1 PADPRT-3	"poly (ADP-ribose) polymerase family, member 3"	Homo sapiens
dd_Smed_v6_2614_0_1	540	PLDB	3.00E-66	H2AFZ H2A.Z-1 H2A.z H2A/z H2AZ	H2A histone family member Z	Homo sapiens
dd_Smed_v6_26202_0_1	1133	PLDB	0	PSMC5 S8 SUG-1 SUG1 TBP10 TRIP1 p45 p45/SUG	"proteasome 26S subunit, ATPase 5"	Homo sapiens
dd_Smed_v6_26342_0_1	1010	PLDB	3.00E-17	POLN POL4P	polymerase (DNA) nu	Homo sapiens
dd_Smed_v6_2665_0_1	1055	PLDB	2.00E-111	PSMD7 MOV34 P40 Rpn8 S12	"proteasome 26S subunit, non-ATPase 7"	Homo sapiens
dd_Smed_v6_2686_0_1	2404	PLDB	0	PSMC2 MSS1 Nbla10058 S7	"proteasome 26S subunit, ATPase 2"	Homo sapiens
dd_Smed_v6_2689_0_1	1354	PLDB	5.00E-26	NUDT18 MTH3	nudix hydrolase 18	Homo sapiens
dd_Smed_v6_26924_0_1	926	PLDB	2.00E-20	HINFP HiNF-P MIZF ZNF743	histone H4 transcription factor	Homo sapiens
dd_Smed_v6_269_0_1	845	PLDB	7.00E-109	RPS3 S3	ribosomal protein S3	Homo sapiens
dd_Smed_v6_27143_0_1	1112	PLDB	2.00E-25	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_2715_0_1	1517	PLDB	7.00E-90	USP5 ISOT	ubiquitin specific peptidase 5	Homo sapiens
dd_Smed_v6_2720_0_1	239	PLDB	2.00E-12	POLR2K ABC10-alpha RPABC4 RPB10alpha RPB12 RPB7.0 hRPB7.0 hsRPB10a	polymerase (RNA) II subunit K	Homo sapiens
dd_Smed_v6_27497_0_1	1064	PLDB	7.00E-96	CDK2 CDKN2 p33(CDK2)	cyclin-dependent kinase 2	Homo sapiens
dd_Smed_v6_2764_0_1	1291	PLDB	6.00E-68	DDI2	DNA damage inducible 1 homolog 2	Homo sapiens
dd_Smed_v6_2772_0_1	2082	PLDB	6.00E-82	TTC5 Strap	tetratricopeptide repeat domain 5	Homo sapiens
dd_Smed_v6_2781_0_1	1048	PLDB	8.00E-124	COPS5 CSN5 JAB1 MOV-34 SGN5	COP9 signalosome subunit 5	Homo sapiens
dd_Smed_v6_2794_0_1	1622	PLDB	2.00E-149	ACTL6A ACTL6 ARPN-BETA Arp4 BAF53A INO80K	actin like 6A	Homo sapiens
dd_Smed_v6_28398_0_1	1245	PLDB	1.00E-56	WNT1 BMND16 INT1 OI15	Wnt family member 1	Homo sapiens
dd_Smed_v6_2866_0_1	2429	PLDB	0	WDR5 BIG-3 SWD3	WD repeat domain 5	Homo sapiens
dd_Smed_v6_2911_0_1	1744	PLDB	2.00E-27	NDRG1 CAP43 CMT4D DRG-1 DRG1 GC4 HMSNL NDR1 NMSL PROXY1 RIT42 RTP TARG1 TDD5	N-myc downstream regulated 1	Homo sapiens
dd_Smed_v6_29468_0_1	1063	PLDB	3.00E-54	SPDYA RINGO3 RINGOA SPDY1 SPY1	speedy/RINGO cell cycle regulator family member A	Homo sapiens
dd_Smed_v6_30074_0_1	1128	PLDB	0	PSMC4 MIP224 RPT3 S6 TBP-7 TBP7	"proteasome 26S subunit, ATPase 4"	Homo sapiens
dd_Smed_v6_3017_0_1	1311	PLDB	8.00E-67	RAD23A HHR23A HR23A	"RAD23 homolog A, nucleotide excision repair protein"	Homo sapiens
dd_Smed_v6_30393_0_1	1594	PLDB	2.00E-99	MSH5 G7 MUTSH5 NG23	mutS homolog 5	Homo sapiens
dd_Smed_v6_30393_0_2	1571	PLDB	1.00E-94	MSH5 G7 MUTSH5 NG23	mutS homolog 5	Homo sapiens
dd_Smed_v6_3040_0_1	1501	PLDB	2.00E-22	FOXO4 AFX AFX1 MLLT7	forkhead box O4	Homo sapiens
dd_Smed_v6_3085_0_1	1250	PLDB	4.00E-08	USP3 SIH003 UBP	ubiquitin specific peptidase 3	Homo sapiens
dd_Smed_v6_3086_0_1	1373	PLDB	0	ASS1 ASS CTLN1	argininosuccinate synthase 1	Homo sapiens
dd_Smed_v6_3110_0_1	4824	PLDB	0	ERCC6 ARMD5 CKN2 COFS COFS1 CSB RAD26 UVSS1	excision repair cross-complementation group 6	Homo sapiens
dd_Smed_v6_31502_0_1	1046	PLDB	2.00E-119	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_32445_0_1	847	PLDB	8.00E-47	PSMD8 HEL-S-91n HIP6 HYPF Nin1p Rpn12 S14 p31	"proteasome 26S subunit, non-ATPase 8"	Homo sapiens
dd_Smed_v6_3245_0_1	891	PLDB	5.00E-67	PSMD8 HEL-S-91n HIP6 HYPF Nin1p Rpn12 S14 p31	"proteasome 26S subunit, non-ATPase 8"	Homo sapiens
dd_Smed_v6_32569_0_1	916	PLDB	2.00E-90	POLR2C RPB3 RPB31 hRPB33 hsRPB3	polymerase (RNA) II subunit C	Homo sapiens
dd_Smed_v6_325_0_1	866	PLDB	1.00E-65	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_3269_0_1	997	PLDB	6.00E-29	PSMD9 Rpn4 p27	"proteasome 26S subunit, non-ATPase 9"	Homo sapiens
dd_Smed_v6_32853_0_1	699	PLDB	5.00E-95	CAT	catalase	Homo sapiens
dd_Smed_v6_3342_0_1	1803	PLDB	8.00E-109	RPA1 HSSB MST075 REPA1 RF-A RP-A RPA70	replication protein A1	Homo sapiens
dd_Smed_v6_3362_0_1	834	PLDB	2.00E-84	RAC1 Rac-1 TC-25 p21-Rac1	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	Homo sapiens
dd_Smed_v6_3375_0_1	4203	PLDB	7.00E-14	APAF1 APAF-1 CED4	apoptotic peptidase activating factor 1	Homo sapiens
dd_Smed_v6_338_0_1	437	PLDB	8.00E-12	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_3414_0_1	1048	PLDB	5.00E-117	PRDX4 AOE37-2 HEL-S-97n PRX-4	peroxiredoxin 4	Homo sapiens
dd_Smed_v6_3463_0_1	3143	PLDB	0	XRN2	5'-3' exoribonuclease 2	Homo sapiens
dd_Smed_v6_3490_0_1	1491	PLDB	0	RUVBL1 ECP54 INO80H NMP238 PONTIN Pontin52 RVB1 TIH1 TIP49 TIP49A	RuvB-like AAA ATPase 1	Homo sapiens
dd_Smed_v6_34_0_2	251	PLDB	3.00E-49	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_3539_0_1	473	PLDB	2.00E-34	POLR2F HRBP14.4 POLRF RPABC2 RPB14.4 RPB6	polymerase (RNA) II (DNA directed) polypeptide F	Homo sapiens
dd_Smed_v6_353_0_1	666	PLDB	9.00E-05	CDIP1 C16orf5 CDIP I1 LITAFL	cell death-inducing p53 target 1	Homo sapiens
dd_Smed_v6_3543_0_1	1115	PLDB	4.00E-79	UBE2B E2-17kDa HHR6B HR6B RAD6B UBC2	ubiquitin conjugating enzyme E2 B	Homo sapiens
dd_Smed_v6_3565_0_1	1552	PLDB	2.00E-36	RUNX1 AML1 AML1-EVI-1 AMLCR1 CBFA2 EVI-1 PEBP2aB	runt-related transcription factor 1	Homo sapiens
dd_Smed_v6_35892_0_1	1175	PLDB	1.00E-54	PAX6 AN AN2 D11S812E MGDA WAGR	paired box 6	Homo sapiens
dd_Smed_v6_35990_0_1	1396	PLDB	9.00E-137	PLK1 PLK STPK13	polo like kinase 1	Homo sapiens
dd_Smed_v6_3599_0_1	3463	PLDB	7.00E-119	PIK3CB P110BETA PI3K PI3KBETA PIK3C1	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta"	Homo sapiens
dd_Smed_v6_3655_0_1	1223	PLDB	6.00E-108	USP5 ISOT	ubiquitin specific peptidase 5	Homo sapiens
dd_Smed_v6_3656_0_1	637	PLDB	4.00E-71	MCTS1 MCT-1 MCT1	malignant T-cell amplified sequence 1	Homo sapiens
dd_Smed_v6_3675_0_1	840	PLDB	8.00E-38	POLR2H RPABC3 RPB17 RPB8	polymerase (RNA) II subunit H	Homo sapiens
dd_Smed_v6_36_0_1	1057	PLDB	3.00E-114	YWHAE 14-3-3E HEL2 KCIP-1 MDCR MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Homo sapiens
dd_Smed_v6_3730_1_1	2418	PLDB	4.00E-161	CUL4A	cullin 4A	Homo sapiens
dd_Smed_v6_3775_0_1	2524	PLDB	6.00E-111	USP20 LSFR3A VDU2 hVDU2	ubiquitin specific peptidase 20	Homo sapiens
dd_Smed_v6_3782_1_1	917	PLDB	3.00E-39	ACTR8 ARP8 INO80N hArp8	ARP8 actin-related protein 8 homolog	Homo sapiens
dd_Smed_v6_3809_0_1	3824	PLDB	0	SMC3 BAM BMH CDLS3 CSPG6 HCAP SMC3L1	structural maintenance of chromosomes 3	Homo sapiens
dd_Smed_v6_3842_2_1	776	PLDB	7.00E-40	PITHD1 C1orf128 HT014 TXNL1CL	PITH domain containing 1	Homo sapiens
dd_Smed_v6_38460_0_1	538	PLDB	5.00E-16	PSMD8 HEL-S-91n HIP6 HYPF Nin1p Rpn12 S14 p31	"proteasome 26S subunit, non-ATPase 8"	Homo sapiens
dd_Smed_v6_3861_0_1	3233	PLDB	0	AGO2 EIF2C2 Q10	"argonaute 2, RISC catalytic component"	Homo sapiens
dd_Smed_v6_3866_0_1	1296	PLDB	1.00E-58	SRSF1 ASF SF2 SF2p33 SFRS1 SRp30a	serine/arginine-rich splicing factor 1	Homo sapiens
dd_Smed_v6_3867_0_1	497	PLDB	1.00E-49	POLR2I RPB9 hRPB14.5	polymerase (RNA) II subunit I	Homo sapiens
dd_Smed_v6_3885_0_1	8446	PLDB	0	HERC2 D15F37S1 MRT38 SHEP1 jdf2 p528	HECT and RLD domain containing E3 ubiquitin protein ligase 2	Homo sapiens
dd_Smed_v6_3904_0_1	1640	PLDB	5.00E-88	SSRP1 FACT FACT80 T160	structure specific recognition protein 1	Homo sapiens
dd_Smed_v6_3914_0_1	1170	PLDB	9.00E-53	MRPS35 MDS023 MRP-S28 MRPS28	mitochondrial ribosomal protein S35	Homo sapiens
dd_Smed_v6_3921_0_1	8795	PLDB	0	MTOR FRAP FRAP1 FRAP2 RAFT1 RAPT1	mechanistic target of rapamycin (serine/threonine kinase)	Homo sapiens
dd_Smed_v6_3927_0_1	7255	PLDB	0	NIPBL CDLS CDLS1 IDN3 IDN3-B Scc2	"NIPBL, cohesin loading factor"	Homo sapiens
dd_Smed_v6_39557_0_1	1094	PLDB	1.00E-07	PSMD10 dJ889N15.2 p28 p28(GANK)	"proteasome 26S subunit, non-ATPase 10"	Homo sapiens
dd_Smed_v6_3971_0_1	2924	PLDB	0	LONP1 LON LONP LonHS PIM1 PRSS15 hLON	"lon peptidase 1, mitochondrial"	Homo sapiens
dd_Smed_v6_3986_0_1	1263	PLDB	1.00E-164	PSMD6 Rpn7 S10 SGA-113M p42A p44S10	"proteasome 26S subunit, non-ATPase 6"	Homo sapiens
dd_Smed_v6_4032_0_1	2964	PLDB	1.00E-79	RAD21 CDLS4 HR21 HRAD21 MCD1 NXP1 SCC1 hHR21	RAD21 cohesin complex component	Homo sapiens
dd_Smed_v6_403_0_1	1019	PLDB	1.00E-30	NEDD8 NEDD-8	"neural precursor cell expressed, developmentally down-regulated 8"	Homo sapiens
dd_Smed_v6_4053_0_1	1970	PLDB	1.00E-55	TDG hTDG	thymine-DNA glycosylase	Homo sapiens
dd_Smed_v6_4102_0_1	1602	PLDB	5.00E-33	MCRS1 ICP22BP INO80Q MCRS2 MSP58 P78	microspherule protein 1	Homo sapiens
dd_Smed_v6_4143_0_1	1133	PLDB	5.00E-76	PSMC3 TBP1	"proteasome 26S subunit, ATPase 3"	Homo sapiens
dd_Smed_v6_4160_0_1	3497	PLDB	2.00E-98	TAOK1 KFC-B MAP3K16 MARKK PSK-2 PSK2 TAO1 hKFC-B hTAOK1	TAO kinase 1	Homo sapiens
dd_Smed_v6_41667_0_1	659	PLDB	3.00E-29	PSMD4 AF AF-1 ASF MCB1 Rpn10 S5A pUB-R5	"proteasome 26S subunit, non-ATPase 4"	Homo sapiens
dd_Smed_v6_4219_0_1	647	PLDB	4.00E-60	UBE2D3 E2(17)KB3 UBC4/5 UBCH5C	ubiquitin conjugating enzyme E2 D3	Homo sapiens
dd_Smed_v6_422_0_1	606	PLDB	1.00E-08	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_4232_0_1	643	PLDB	2.00E-38	POLR2J POLR2J1 RPB11 RPB11A RPB11m hRPB14	polymerase (RNA) II subunit J	Homo sapiens
dd_Smed_v6_4257_0_1	2730	PLDB	1.00E-104	CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	Homo sapiens
dd_Smed_v6_4273_0_1	1932	PLDB	0	PLK1 PLK STPK13	polo like kinase 1	Homo sapiens
dd_Smed_v6_4341_0_1	822	PLDB	5.00E-21	RPA2 REPA2 RP-A p32 RP-A p34 RPA32	replication protein A2	Homo sapiens
dd_Smed_v6_4346_0_1	957	PLDB	1.00E-111	POLR2C RPB3 RPB31 hRPB33 hsRPB3	polymerase (RNA) II subunit C	Homo sapiens
dd_Smed_v6_4362_0_1	528	PLDB	4.00E-35	POLR2D HSRBP4 HSRPB4 RBP4 RPB16	polymerase (RNA) II subunit D	Homo sapiens
dd_Smed_v6_4399_0_1	1430	PLDB	1.00E-135	MAPKAPK3 3PK MAPKAP-K3 MAPKAP3 MAPKAPK-3 MK-3	mitogen-activated protein kinase-activated protein kinase 3	Homo sapiens
dd_Smed_v6_4426_0_1	3567	PLDB	2.00E-64	INTS3 C1orf193 C1orf60 INT3 SOSS-A SOSSA	integrator complex subunit 3	Homo sapiens
dd_Smed_v6_4503_0_1	3925	PLDB	0	MYO6 DFNA22 DFNB37	myosin VI	Homo sapiens
dd_Smed_v6_4515_0_1	2662	PLDB	2.00E-70	DOT1L DOT1 KMT4	DOT1-like histone H3K79 methyltransferase	Homo sapiens
dd_Smed_v6_4515_0_3	2357	PLDB	3.00E-80	DOT1L DOT1 KMT4	DOT1 like histone lysine methyltransferase	Homo sapiens
dd_Smed_v6_4515_0_5	1355	PLDB	1.00E-74	DOT1L DOT1 KMT4	DOT1 like histone lysine methyltransferase	Homo sapiens
dd_Smed_v6_4515_0_7	1054	PLDB	2.00E-64	DOT1L DOT1 KMT4	DOT1 like histone lysine methyltransferase	Homo sapiens
dd_Smed_v6_4560_0_1	1325	PLDB	5.00E-37	GTF2H3 BTF2 P34 TFB4 TFIIH	general transcription factor IIH subunit 3	Homo sapiens
dd_Smed_v6_4561_0_1	2787	PLDB	0	CSNK1D ASPS CKIdelta FASPS2 HCKID	casein kinase 1 delta	Homo sapiens
dd_Smed_v6_458_0_1	386	PLDB	6.00E-48	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_458_0_2	251	PLDB	2.00E-49	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_4595_0_1	3955	PLDB	0	INO80 INO80A INOC1 hINO80	INO80 complex subunit	Homo sapiens
dd_Smed_v6_4609_0_1	2084	PLDB	3.00E-108	ASH2L ASH2 ASH2L1 ASH2L2 Bre2	ASH2 like histone lysine methyltransferase complex subunit	Homo sapiens
dd_Smed_v6_461_0_1	1411	PLDB	9.00E-86	YWHAE 14-3-3E HEL2 KCIP-1 MDCR MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Homo sapiens
dd_Smed_v6_4631_0_1	520	PLDB	9.00E-13	MIF GIF GLIF MMIF	macrophage migration inhibitory factor (glycosylation-inhibiting factor)	Homo sapiens
dd_Smed_v6_464_0_1	725	PLDB	2.00E-52	CYCS CYC HCS THC4	"cytochrome c, somatic"	Homo sapiens
dd_Smed_v6_4706_1_1	1593	PLDB	8.00E-116	KAT5 ESA1 HTATIP HTATIP1 PLIP TIP TIP60 ZC2HC5 cPLA2	lysine acetyltransferase 5	Homo sapiens
dd_Smed_v6_4712_0_1	2334	PLDB	0	MCM7 CDC47 MCM2 P1.1-MCM3 P1CDC47 P85MCM PNAS146 PPP1R104	minichromosome maintenance complex component 7	Homo sapiens
